subject,included,ses1_segments,ses2_segments,reason
sub-01,True,69,54,
sub-02,True,70,64,
sub-03,True,73,70,
sub-04,True,4,62,
sub-05,True,65,67,
sub-06,True,74,64,
sub-07,True,63,68,
sub-08,True,65,62,
sub-09,True,69,58,
sub-10,True,69,71,
sub-11,True,64,66,
sub-12,True,57,66,
sub-13,True,72,69,
sub-14,True,71,70,
sub-15,True,73,73,
sub-16,True,72,73,
sub-17,True,73,73,
sub-18,True,73,70,
sub-19,True,72,72,
sub-20,True,74,69,
sub-21,True,63,64,
sub-22,True,73,73,
sub-23,True,74,74,
sub-24,True,72,70,
sub-25,True,73,73,
sub-26,True,73,74,
sub-27,True,73,74,
sub-28,True,74,57,
sub-29,True,72,74,
sub-30,True,73,73,
sub-31,True,73,71,
sub-32,True,68,65,
sub-33,True,73,72,
sub-34,True,72,73,
sub-35,True,73,73,
sub-36,True,73,72,
sub-37,True,71,51,
sub-38,True,71,72,
sub-39,False,71,0,missing_or_insufficient_usable_session
sub-40,True,73,70,
sub-41,True,69,67,
sub-42,True,71,67,
sub-43,False,70,0,missing_or_insufficient_usable_session
sub-44,False,73,0,missing_or_insufficient_usable_session
sub-45,True,68,73,
sub-46,True,70,60,
sub-47,True,73,72,
sub-48,True,74,71,
sub-49,True,73,73,
sub-50,True,70,71,
sub-51,True,70,67,
sub-52,True,72,79,
sub-53,True,72,72,
sub-54,True,64,63,
sub-55,True,74,73,
sub-56,True,72,72,
sub-57,True,71,56,
sub-58,True,72,62,
sub-59,True,71,61,
sub-60,True,60,67,
sub-61,True,74,74,
sub-62,True,71,66,
sub-63,True,67,73,
sub-64,True,69,70,
sub-65,True,74,55,
sub-66,True,65,69,
sub-67,True,74,72,
sub-68,True,73,73,
sub-69,True,73,70,
sub-70,True,70,69,
sub-71,True,70,72,
